Title,Date
"Crash Course in Romance: Probability of Encountering Your Enemy at Your Worst","14/02/23"
"Crash Course in Romance: You and I, the Intersection of Two Universes","14/02/23"
"SWORDGAI The Animation: Part II: Episode 12","14/02/23"
"SWORDGAI The Animation: Part II: Episode 11","14/02/23"
"SWORDGAI The Animation: Part II: Episode 10","14/02/23"
"SWORDGAI The Animation: Part II: Episode 09","14/02/23"
"SWORDGAI The Animation: Part II: Episode 08","14/02/23"
"SWORDGAI The Animation: Part II: Episode 07","14/02/23"
"SWORDGAI The Animation: Part II: Episode 06","14/02/23"
"SWORDGAI The Animation: Part II: Episode 05","14/02/23"
"SWORDGAI The Animation: Part II: Episode 04","14/02/23"
"SWORDGAI The Animation: Part II: Episode 03","14/02/23"
"SWORDGAI The Animation: Part II: Episode 02","14/02/23"
"SWORDGAI The Animation: Part II: Episode 01","14/02/23"
"SWORDGAI The Animation: Part I: Episode 12","14/02/23"
"SWORDGAI The Animation: Part I: Episode 11","14/02/23"
"SWORDGAI The Animation: Part I: Episode 10","14/02/23"
"SWORDGAI The Animation: Part I: Episode 09","14/02/23"
"Your Turn to Kill: Episode 1","13/02/23"
"SWORDGAI The Animation: Part I: Episode 08","13/02/23"
"SWORDGAI The Animation: Part I: Episode 07","13/02/23"
"SWORDGAI The Animation: Part I: Episode 06","13/02/23"
"SWORDGAI The Animation: Part I: Episode 05","13/02/23"
"SWORDGAI The Animation: Part I: Episode 04","13/02/23"
"SWORDGAI The Animation: Part I: Episode 03","13/02/23"
"SWORDGAI The Animation: Part I: Episode 02","13/02/23"
"SWORDGAI The Animation: Part I: Episode 01","13/02/23"
"B: The Beginning: Season 1: Episode 4","12/02/23"
"B: The Beginning: Season 1: Episode 3","12/02/23"
"B: The Beginning: Season 1: Episode 2","12/02/23"
"Kaguya-sama: Love Is War: I Can't Hear the Fireworks, Part 2/Kaguya Doesn't Want to Avoid Him","11/02/23"
"Kaguya-sama: Love Is War: Kaguya Won't Forgive/Kaguya Wants to Forgive/Miyuki Shirogane Wants to Go Somewhere","11/02/23"
"Kaguya-sama: Love Is War: Ai Hayasaka Wants to Get Soaked/Chika Fujiwara Really Wants to Eat It/Miyuki Shirogane Wants to See You/I Can't Hear the Fireworks, Part 1","11/02/23"
"Komi Can't Communicate: It's just, I wish I could speak.","11/02/23"
"Chainsaw Man: Katana VS. Chainsaw","11/02/23"
"Chainsaw Man: Mission Start","11/02/23"
"Chainsaw Man: Bruised & Battered","11/02/23"
"Chainsaw Man: From Kyoto","11/02/23"
"Chainsaw Man: Gunfire","11/02/23"
"Chainsaw Man: The Taste of a Kiss","11/02/23"
"Chainsaw Man: Kill Denji","11/02/23"
"Chainsaw Man: Gun Devil","11/02/23"
"Chainsaw Man: Rescue","10/02/23"
"Chainsaw Man: Meow's Whereabouts","10/02/23"
"Chainsaw Man: Arrival in Tokyo","10/02/23"
"Chainsaw Man: Dog & Chainsaw","10/02/23"
"The Interest of Love: Episode 16","10/02/23"
"7SEEDS: Part 1: Spring Begins","09/02/23"
"Alice in Borderland: Season 2: Episode 8","09/02/23"
"Alice in Borderland: Season 2: Episode 7","09/02/23"
"Alice in Borderland: Season 2: Episode 6","09/02/23"
"Alice in Borderland: Season 2: Episode 5","09/02/23"
"Alice in Borderland: Season 2: Episode 4","09/02/23"
"Alice in Borderland: Season 2: Episode 3","09/02/23"
"The Interest of Love: Episode 15","09/02/23"
"Kaguya-sama: Love Is War: Kaguya Wants to Give a Gift/Chika Fujiwara Wants to Pay a Visit/About Kaguya Shinomiya","09/02/23"
"Kaguya-sama: Love Is War: Kaguya Wants Her to Say It/Miyuki Shirogane Can't Lose/Ishigami Closes His Eyes","09/02/23"
